X,Y,Au,Au_2,Ag,Al,As,Ba,Be,Ca,Cd,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Si,Sr,Th,Ti,U,V,Y,Yb,Zn,Zr
675777,4165384,5,0,0.43,59936,8.5,411,1.3,13333.33,0.25,50,16,72,46,39579,16736,27,20,9381,627,0.68,9838,42,628,17,656,0.95,8.9,0,329,8.9,4443,6,114,16,1.6,74,75
676322,4165371,5,0,0.27,72622,12.2,480,1.6,53075,0.28,62,19,119,44,41328,21204,32,29,13141,876,0.69,11384,69,739,22,538,0.85,12.1,0,248,10.5,4742,3.75,113,21,2,84,100
676509,4165410,5,0,0.32,83026,6.2,474,1.7,43248,0.26,60,16,87,52,37979,21637,32,28,12229,821,0.75,14068,55,1108,19,787,0.87,11.5,0,348,10.1,4377,3.75,97,20,1.8,84,95
678606,4163930,5,0,0.36,61499,6.2,388,1.5,97918,0.28,51,14,90,40,32826,21055,27,25,11555,675,0.63,8652,59,943,18,870,0.86,10.2,0,307,9.4,3527,11.9,85,18,1.8,83,77
684529,4164641,10,1,0.35,67765,9.7,557,1.7,52215,0.3,60,14,59,71,35816,31558,32,18,8090,1042,0.71,9486,37,2205,27,836,0.82,8.7,0,249,12.3,4198,6.1,100,17,1.6,143,88
685158,4164948,36,1,0.35,75017,11.3,512,1.8,44890,0.28,65,16,64,71,40220,28786,35,20,8802,1162,0.73,10402,37,1423,20,1012,0.9,9.6,0,237,11.9,4727,3.75,111,19,1.8,100,104
685480,4165278,5,0,0.28,86179,23.4,520,2,31848,0.26,64,21,62,68,40053,29926,34,25,9571,1933,1.9,13473,36,881,21,1115,0.86,13,0,200,11,4968,3.75,117,20,1.9,75,100
683201,4166723,5,0,0.31,75739,17.3,593,1.5,30636,0.25,47,15,70,51,42756,26144,25,24,7925,611,1.6,15468,29,757,27,1002,1.04,10.9,0,190,13.3,4876,3.75,130,17,1.8,85,71
683442,4166755,5,0,0.34,76343,18.3,317,1.4,34146,0.25,45,13,43,36,34966,25940,24,28,8709,709,1.4,12937,24,721,22,1483,0.97,10.9,0,214,7.3,4321,3.75,103,16,1.7,78,82
683331,4166960,6,1,0.29,73566,19.7,431,1.3,37459,0.25,50,14,43,46,36561,24548,27,28,8462,631,0.83,13102,21,736,28,1896,0.97,10.9,0,240,9.8,4376,3.75,104,17,1.8,85,88
682654,4167373,9,1,0.38,75782,18.8,922,1.6,54128,0.25,50,15,64,62,36467,26016,26,19,8512,1077,0.86,11201,37,1127,26,1115,0.94,12.8,0,200,18.3,3936,3.75,101,20,1.9,82,106
682514,4166759,5,0,0.28,55656,11.6,508,1.6,13333.33,0.28,57,16,112,63,44659,21308,28,19,8403,1577,0.77,9063,40,654,35,793,0.95,10.8,0,239,12.4,4425,7.5,122,20,2,97,71
